Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1776382107,80,,Aggregated,141.800000,112.000000,290,300,320,320,470,640,1100,4000,6300,6400,6400,6616,4785,290,383.45415799574874,239.97640000015963,6422.056900002644,35.207829504232166
1776382108,80,,Aggregated,141.300000,111.500000,290,300,320,320,460,630,1100,4000,6300,6400,6400,6766,4910,290,381.1505373780254,239.97640000015963,6422.056900002644,35.258646172036656
1776382109,80,,Aggregated,144.500000,114.100000,290,300,320,320,460,630,1100,4000,6300,6400,6400,6914,5028,290,378.9435028347762,239.97640000015963,6422.056900002644,35.285796933757595
1776382110,80,,Aggregated,143.600000,113.300000,280,300,320,320,450,620,1100,4000,6300,6400,6400,7027,5122,280,377.38234808590545,239.97640000015963,6422.056900002644,35.32076277216451
1776382111,80,,Aggregated,144.000000,113.600000,290,300,320,320,460,620,1100,4000,6300,6400,6400,7189,5249,290,376.63251685904254,239.97640000015963,6422.056900002644,35.33982473222979
1776382112,80,,Aggregated,144.800000,114.200000,280,300,320,320,450,610,1100,4000,6300,6400,6400,7339,5367,280,374.6040321024147,239.97640000015963,6422.056900002644,35.35822319117046
1776382113,80,,Aggregated,143.700000,114.500000,280,300,310,320,450,610,1000,4000,6300,6400,6400,7483,5475,280,372.7728743551736,239.97640000015963,6422.056900002644,35.35614058532674
1776382114,80,,Aggregated,143.800000,113.900000,280,300,310,320,440,600,1000,3900,6300,6400,6400,7638,5595,280,370.84514183030217,239.97640000015963,6422.056900002644,35.367242733699925
1776382115,80,,Aggregated,142.800000,113.000000,280,300,310,320,430,600,1000,3900,6300,6400,6400,7789,5714,280,369.1016040441548,239.97640000015963,6422.056900002644,35.38490178456798
1776382116,80,,Aggregated,143.800000,114.000000,280,300,310,320,430,590,1000,3900,6300,6400,6400,7936,5839,280,367.41684818550385,239.97640000015963,6422.056900002644,35.43258568548387
1776382117,80,,Aggregated,144.600000,114.600000,280,300,310,320,420,590,990,1400,6300,6400,6400,8076,5950,280,365.8466483160196,239.97640000015963,6422.056900002644,35.449479940564636
1776382118,80,,Aggregated,145.700000,115.900000,280,300,310,320,430,580,980,1300,6300,6400,6400,8208,6051,280,365.9374455896814,239.97640000015963,6422.056900002644,35.45285087719298
1776382119,80,,Aggregated,145.500000,115.600000,280,300,310,320,430,580,960,1300,6300,6400,6400,8355,6169,280,364.39752985041105,239.97640000015963,6422.056900002644,35.47432675044883
